,name,market_pairs,circulating,max supply,MC,MC_dominance,sixty_days_change,SC
0,Bitcoin,8252,18.896556,1,915516.2183883167,40.1534,-12.74095588,False
1,Ethereum,4621,118.6742020615,0,493751.2893930582,21.6785,20.0545318,True
2,Binance Coin,555,166.801148,1,96668.0170002534,4.2392,41.33739891,True
3,Tether,20354,76156.30408368591,0,76204.24821288371,3.3423,-0.01144425,False
4,Solana,197,307.3474110527574,0,56146.43770143633,2.4622,21.23001988,False
5,Cardano,298,33423.232331056,1,43865.319129588825,1.9255,-40.80582388,True
6,XRP,615,47247.295769,1,41138.38063891178,1.8053,-24.5477236,False
7,USD Coin,1761,41038.56379758043,0,41078.88517491817,1.8017,0.0538354,False
8,Polkadot,247,987.579314957085,0,27024.124841828812,1.1862,-21.58461842,False
9,Terra,107,379.8228537211097,0,26098.300530173048,1.1453,71.26696973,False
10,Dogecoin,402,132453.93767872892,0,22776.222822284417,1.0,-26.31546694,False
11,Avalanche,124,242.81462408881612,0,21459.46914899799,0.9417,53.44741334,True
12,SHIBA INU,170,549057767.4443187,0,19310.20889720523,0.8476,32.56264235,False
13,Polygon,257,7081.68296327,1,15583.677789701109,0.684,74.22808826,False
14,Crypto.com Coin,111,25263.013692,1,14664.112042029883,0.6431,203.77849634,False
15,Binance USD,1617,13800.014685540002,0,13808.823543872833,0.6056,0.02753977,False
16,Wrapped Bitcoin,181,0.25678973406568,0,12326.283302326494,0.5412,-13.57709197,False
17,Litecoin,670,69.15409472526348,1,10675.063285135198,0.4687,-13.02285366,False
18,Uniswap,278,627.9367588572923,1,10238.589072402805,0.4491,-33.06726279,False
19,Algorand,153,6311.556745757534,1,9945.226781620104,0.4362,-13.23085391,True
20,Chainlink,471,467.00955391746373,1,9687.703156562704,0.4249,-20.4239702,True
21,TRON,475,101890.77558386899,0,9167.549788796397,0.4023,-8.76695877,False
22,Bitcoin Cash,505,18.92305625,1,8597.700822773288,0.3774,-23.60980192,False
23,TerraUSD,126,8553.360096739149,0,8573.74561495133,0.376,0.04504275,False
24,Stellar,325,24621.444716144935,1,6837.904951427553,0.3002,-17.51209631,True
25,Dai,446,6474.951713635377,0,6466.303372631751,0.2838,-0.16897789,False
26,Axie Infinity,144,60.9075,1,6404.4873886682435,0.2812,-13.01193896,False
27,Decentraland,191,1824.5954348740843,0,6401.032278809985,0.281,342.25841193,False
28,FTX Token,91,139.29569131874374,1,5697.215458832814,0.25,-24.3726618,False
29,VeChain,150,64315.576989,1,5626.329220636312,0.247,-22.07129322,True
30,NEAR Protocol,70,572.960489,1,5520.687349622601,0.2421,27.4404963,False
31,Elrond,62,19.85122248662752,1,5409.0083106341135,0.2375,12.11262143,False
32,Internet Computer,85,183.75019790000002,0,5326.116377784658,0.2336,-36.62647868,False
33,Cosmos,186,225.95649411339798,0,5169.8891283889825,0.2267,-30.37859791,False
34,Filecoin,147,135.318557,0,5141.520434312555,0.2255,-46.86292503,False
35,Bitcoin BEP2,57,0.10511556749643,0,5087.038295769655,0.2233,-12.91901114,False
36,Ethereum Classic,245,131.5299126241811,1,5015.448317151114,0.2202,-29.13787157,True
37,The Sandbox,137,913.3646192233225,1,4843.298681621501,0.2124,600.53054409,False
38,Hedera,69,18092.792421137627,1,4639.9713090453915,0.2035,-26.27554534,False
39,THETA,84,1000.0,1,4498.119701368464,0.1975,-30.03798718,False
40,Tezos,172,869.992251347022,0,4253.128312356713,0.1865,-31.72516305,True
41,Fantom,122,2545.006273,1,3680.747371185259,0.1615,-30.54376399,True
42,UNUS SED LEO,15,953.95413,0,3529.2130743845705,0.1549,35.45340836,False
43,Gala,68,6977.205436,0,3517.0099512373795,0.1544,448.052143,False
44,Monero,146,18.04313175368654,0,3449.838050774784,0.1513,-29.71745182,False
45,Klaytn,45,2552.0957352,0,3431.5329648570378,0.1507,-21.47338809,False
46,Loopring,147,1328.3337000378665,1,3373.737823387445,0.1481,561.28145558,False
47,The Graph,144,4715.7352,1,3301.8021422446755,0.1448,1.30428759,False
48,BitTorrent,156,990000.0,0,3268.2353245342024,0.1435,-15.49169888,False
49,IOTA,59,2779.530283,1,3219.7404636799774,0.1414,-22.840856,False
50,EOS,363,973.4203625192,0,3194.6388110283892,0.1402,-29.19238258,True
51,Helium,32,103.81993844562956,1,3054.645262679738,0.134,51.55178494,False
52,Flow,50,315.588776,0,2951.540316821701,0.1295,-49.92714056,False
53,PancakeSwap,133,247.7643359891117,0,2871.2741570942667,0.126,-38.82140968,False
54,Stacks,36,1287.798889088591,1,2787.7788715971783,0.1223,-1.41085719,False
55,Bitcoin SV,140,18.91965164423905,1,2555.7072255894427,0.1122,-23.82396093,False
56,Maker,194,0.98861988379196,1,2510.297514515503,0.1102,2.13884858,False
57,Kusama,104,8.47009805726206,0,2495.3478100122356,0.1095,-12.99595063,False
58,Aave,249,13.433292704979719,1,2379.9054403040154,0.1044,-39.06213023,False
59,eCash,38,18919242.173313,1,2267.98102152763,0.0996,-44.82631198,False
60,Amp,46,42227.702186,1,2256.0766761356567,0.099,12.84883971,False
61,Zcash,215,13.26710625,1,2214.250240005797,0.0972,38.05384542,False
62,Enjin Coin,190,842.268984067558,1,2196.3955145055197,0.0963,61.95062499,False
63,Harmony,62,11460.895032100672,0,2069.8345350261084,0.0908,-27.58650321,True
64,Neo,222,70.538831,1,1990.720356649244,0.0873,-38.54980029,True
65,Quant,50,12.072738,1,1970.443250505537,0.0864,-44.33319225,False
66,Waves,148,106.914448,0,1863.157565043376,0.0818,-34.64301198,True
67,THORChain,57,258.21021514211327,1,1858.426529190596,0.0815,-6.05645541,False
68,Chiliz,203,5954.921247530758,1,1808.9732280482883,0.0793,-2.73981314,False
69,Basic Attention Token,248,1492.9761034473504,1,1767.8409688293605,0.0775,64.26662609,False
70,Kadena,14,161.17207506454,1,1727.988729461125,0.0759,433.47191696,True
71,KuCoin Token,33,80.118638,1,1652.8681270744053,0.0726,79.3337723,False
72,Curve DAO Token,167,434.85101396313337,1,1623.9437195750475,0.0712,36.24852833,False
73,Huobi Token,87,159.30856625441209,1,1608.2794315118306,0.0705,32.25464097,False
74,Holo,92,173037.11440585647,0,1583.3495038417,0.0694,-1.6021817,False
75,OKB,44,60.0,0,1533.0373170994244,0.0673,52.57460531,False
76,Dash,298,10.47163177121931,1,1462.5929666702368,0.0642,-24.22725073,False
77,Arweave,38,33.394701,1,1426.9958202622315,0.0626,-27.36625757,False
78,Celo,52,367.204495,1,1410.2441226865042,0.0619,-33.51394602,True
79,TrueUSD,185,1297.975736613851,0,1298.257323874747,0.057,-0.08584571,False
80,Nexo,47,560.000011,1,1254.8435610183083,0.055,28.26905888,False
81,Theta Fuel,26,5301.2144,0,1237.5510526029127,0.0543,-25.165329,False
82,Compound,206,6.2076180749875105,1,1223.7877981970028,0.0537,-35.94230986,False
83,IoTeX,56,9540.77932430788,1,1210.5063982680313,0.0531,79.12241853,False
84,NEM,110,8999.999999,1,1209.0262924537492,0.0531,-23.39894039,True
85,Mina,40,316.66436684003924,0,1156.2810453045392,0.0508,-13.02335112,False
86,Decred,53,13.57218454783043,1,1114.0146491581968,0.0489,-40.69577531,False
87,Immutable X,31,188.160768,1,1044.0699295624163,0.0458,0.0,False
88,1inch Network,144,405.3060901132504,0,1029.0492677800924,0.0451,-15.24365966,False
89,WAX,38,1863.0613724584011,0,1025.6384283676557,0.045,101.06919651,False
90,Voyager Token,16,278.48221418569176,1,1015.8965903973215,0.0446,57.58528683,False
91,Qtum,166,98.9192452260568,1,995.9568954876667,0.0437,-24.6016515,True
92,Pax Dollar,27,945.64294011,0,945.8531207627288,0.0415,-0.00069083,False
93,XDC Network,38,12305.01269875,0,926.699607856966,0.0407,-36.2580045,False
94,OMG Network,244,140.24539824513278,1,915.3171253430181,0.0401,-50.59802351,False
95,Ankr,85,8162.899377791667,1,896.3700178161279,0.0393,21.00525324,False
96,Ravencoin,85,10266.795,1,888.5365894544552,0.039,-21.39681844,False
97,Oasis Network,32,3493.0143062800003,1,860.6022564423615,0.0378,15.5929191,True
98,Celsius,44,238.86351982600002,1,857.4066743268701,0.0376,-37.08419134,False
99,Audius,55,509.912301,0,835.7964343002947,0.0367,-17.94826459,False
100,Horizen,76,11.82766875,1,829.7703100374838,0.0364,-7.31102679,False
101,APENFT,22,277080562.5,1,825.9992828923731,0.0363,-17.10972342,False
102,ICON,71,677.6999312441523,0,823.0922885289227,0.0361,-42.63762664,True
103,Siacoin,60,49615.492992,0,822.3381412589357,0.0361,-14.38131457,False
104,Bancor,233,236.0771105253772,0,819.1433565291564,0.036,-10.3835033,False
105,Livepeer,46,21.16465533252989,1,817.7625304125842,0.0359,120.34404497,False
106,Zilliqa,144,12110.229836498067,1,818.4477492634405,0.0359,-30.5016728,True
107,Revain,15,85061.48568983401,0,817.9575496544859,0.0359,-42.13001199,True
108,Bitcoin Gold,61,17.513923589,1,780.9556236644975,0.0343,-33.97599625,False
109,yearn.finance,204,0.03663772122588,1,768.8923382998587,0.0337,-36.65754844,False
110,BORA,4,861.25,0,767.512609883665,0.0337,345.00659999,False
111,renBTC,17,0.01580036580993,1,760.824649056387,0.0334,-13.06168799,False
112,0x,198,845.4960548027714,1,729.9253141623558,0.032,-17.74254425,False
113,Telcoin,24,57502.11019529,1,729.484342038106,0.032,-27.5314861,False
114,SushiSwap,221,127.244443,1,698.2631755028806,0.0307,-47.25125899,False
115,Nervos Network,49,28943.543002317536,0,686.506933105413,0.0301,57.75999673,False
116,Perpetual Protocol,54,68.7,0,686.2048958790534,0.0301,-27.99308401,False
117,Velas,35,2234.207468603174,0,677.7761274401007,0.0297,108.47735768,False
118,SwissBorg,11,1000.0,0,677.0948958146353,0.0297,3.02937012,False
119,Secret,19,149.815729,0,674.9047590255501,0.0296,-18.73099159,False
120,Gnosis,38,1.504587,1,673.8606355734877,0.0296,52.45929233,False
121,Synthetix,174,114.84153301197928,1,649.0972589471421,0.0285,-41.83823269,False
122,Dogelon Mars,24,553254157.0400242,1,648.5187770767208,0.0285,859.55412069,False
123,Raydium,69,77.311043502658,1,641.1970763361448,0.0281,-13.84649611,False
124,UMA,90,64.55152854480927,1,640.9475858955263,0.0281,-4.07151834,False
125,Ontology,130,875.249524,1,636.3672901343191,0.0279,-26.07317796,False
126,Hive,29,382.66043017000004,0,614.9263999584252,0.027,97.1282631,False
127,Storj,88,351.53801163528277,0,601.2138572398331,0.0264,18.88758815,False
128,Ren,123,997.7640510169292,1,591.0563669049561,0.026,-42.00271292,False
129,IOST,83,18099.719631,1,585.7037233069082,0.0257,-40.66958929,False
130,SKALE Network,51,2641.203115,1,583.837317622568,0.0256,-26.5978166,True
131,dYdX,81,65.569295,1,578.3818514794771,0.0254,-65.26662607,False
132,Neutrino USD,32,577.09904901557,0,567.2043305617731,0.0249,0.0463921,False
133,Ocean Protocol,77,613.0991409978136,1,557.9012724666732,0.0245,10.29541813,False
134,DigiByte,97,14911.800498637595,1,546.719197516297,0.024,-25.159641,False
135,Serum,100,133.231781,1,528.4807509662802,0.0232,-47.66082373,True
136,NuCypher,52,695.25,1,525.9590715019355,0.0231,160.65759122,False
137,Kava,61,143.377956,0,525.1418728417993,0.023,-41.15136246,False
138,Golem,52,1000.0,0,511.6531274315493,0.0225,-6.45805475,False
139,WINkLink,53,961737.3,1,507.61125585785305,0.0223,-1.81019574,False
140,Nano,47,133.248297197,1,502.1711128653908,0.022,-29.06435869,False
141,Moonriver,26,2.506417,1,495.8548085437132,0.0218,-28.28745353,True
142,Polymath,37,898.55082967,0,493.9578281623328,0.0217,-30.11236994,False
143,Ultra,26,282.7852301445,0,489.3404424004813,0.0215,200.64911379,False
144,JUST,61,7300.425,1,487.77055199313014,0.0214,-19.58624447,False
145,Request,42,999.8771156306943,1,471.8231108691161,0.0207,152.94405064,True
146,XYO,31,12844.8212659205,0,465.91583261335774,0.0204,12.20557983,False
147,Reserve Rights,80,13159.997676898001,1,458.6666285430842,0.0201,-3.54563327,False
148,GateToken,17,77.57215808490733,0,455.93581702512523,0.02,48.59011586,False
149,Casper,25,2779.891349,0,445.3140546169971,0.0195,35.85423961,False
150,CEEK VR,22,743.816729245471,0,444.88571444036353,0.0195,4957.05099857,False
151,WOO Network,47,574.2625364688964,1,425.89787746312646,0.0187,-27.2621815,False
152,Fei USD,28,424.9961777889056,0,425.25404123818566,0.0187,-0.05551654,False
153,Celer Network,60,6076.711958398,1,425.3136162441916,0.0187,-54.55223834,False
154,BICONOMY (BICO),31,65.374608,0,409.0419500429095,0.018,39.9739529,False
155,Fetch.ai,56,746.113681,1,409.3038262718433,0.018,-31.93710303,False
156,MyNeighborAlice,68,30.6,1,404.174009390006,0.0177,9.71544093,False
157,OriginTrail,18,363.90604066500964,1,395.59429497214484,0.0174,93.19305688,True
158,DigitalBits,8,874.6080820417932,0,388.97662456014075,0.0171,-22.37912609,False
